iter	Passed	Remaining
0	1910	380276
1	1944	192497
2	1972	129532
3	3955	193798
4	5860	228571
5	5904	190907
6	7740	213426
7	8147	195543
8	10166	215748
9	12200	231809
10	12223	210028
11	14264	223472
12	16276	234135
13	16296	216512
14	18168	224079
15	20056	230654
16	22053	237394
17	23953	242193
18	25818	245958
19	27695	249258
20	29543	251826
21	31433	254327
22	33348	256637
23	35237	258409
24	37197	260385
25	39176	262179
26	41216	264090
27	43281	265872
28	45286	267035
29	47276	267902
30	49228	268373
31	51154	268563
32	53091	268677
33	55001	268538
34	56877	268138
35	58814	267934
36	60839	268022
37	62963	268424
38	64830	267634
39	66748	266994
40	68690	266385
41	70762	266201
42	72833	265927
43	74887	265511
44	76871	264779
45	78753	263653
46	80684	262652
47	82593	261544
48	84582	260652
49	86510	259532
50	88437	258375
51	90357	257170
52	92315	256043
53	94239	254794
54	96183	253575
55	98135	252347
56	100221	251431
57	102335	250544
58	104445	249606
59	106491	248481
60	108508	247256
61	110403	245736
62	112365	244349
63	114298	242884
64	116255	241454
65	118183	239948
66	120060	238328
67	121959	236745
68	123868	235170
69	125767	233568
70	127717	232050
71	129701	230579
72	131789	229277
73	133820	227856
74	135914	226524
75	137853	224918
76	138296	220915
77	140237	219346
78	142212	217819
79	144098	216147
80	146051	214569
81	147961	212920
82	149894	211296
83	151806	209637
84	153800	208083
85	155739	206445
86	157697	204825
87	159684	203234
88	161770	201759
89	163831	200238
90	165925	198745
91	167913	197115
92	169864	195434
93	171829	193764
94	173810	192106
95	175805	190456
96	177508	188488
97	179441	186766
98	181407	185072
99	182160	182160
100	184131	180485
101	186070	178773
102	187995	177044
103	188107	173637
104	190150	172040
105	192287	170519
106	194380	168947
107	196468	167361
108	198474	165698
109	200450	164005
110	202441	162317
111	204396	160597
112	206373	158889
113	208360	157184
114	210326	155458
115	212272	153714
116	213054	151140
117	214975	149389
118	216914	147647
119	218935	145956
120	221011	144296
121	223110	142644
122	225177	140964
123	225659	138307
124	227673	136603
125	229623	134858
126	231621	133137
127	233604	131402
128	235565	129652
129	237572	127923
130	239556	126178
131	241578	124449
132	243553	122692
133	245561	120948
134	247587	119208
135	249573	117446
136	251704	115747
137	251776	113116
138	253898	111423
139	255990	109710
140	257985	107951
141	259975	106186
142	261948	104412
143	263879	102619
144	265905	100860
145	267872	99076
146	269835	97287
147	271807	95500
148	273799	93716
149	274200	91400
150	276159	89614
151	278076	87813
152	280132	86053
153	282259	84311
154	284446	82581
155	284869	80347
156	286929	78585
157	288856	76784
158	290858	75001
159	292893	73223
160	293684	71141
161	295656	69351
162	297688	67573
163	299668	65780
164	301668	63990
165	303651	62193
166	305655	60398
167	307720	58613
168	309759	56819
169	311871	55036
170	311991	52910
171	314114	51134
172	316237	49354
173	318206	47548
174	320138	45734
175	320157	43657
176	322091	41853
177	322110	39811
178	324102	38023
179	326061	36229
180	328047	34435
181	330017	32639
182	330038	30659
183	332058	28874
184	334012	27082
185	336011	25291
186	337996	23497
187	339986	21701
188	342150	19913
189	344266	18119
190	346364	16320
191	348369	14515
192	350361	12707
193	352382	10898
194	352400	9035
195	354389	7232
196	356387	5427
197	358376	3619
198	360441	1811
199	362715	0
